bridge: ap=/dev/ttyUSB0 sta=/dev/ttyUSB1 baud=921600 logdir=logs capture=logs/capture_1771139179.sf.bin
bridge: roles ap_role=AP sta_role=STA
bridge: proto_log=logs/proto_1771139179.jsonl
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080805800d899
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080805900d999
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080805a00da99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080805b00db99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080805c00dc99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080805d00dd99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080805e00de99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080805f00df99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080806000e099
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080806100e199
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080806200e299
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080806300e399
[TEL] udp src=40000 phone_dst=6000 len=106 cc_type=0x01 head=636301d9016300524144434c4f4650565f38333938313900
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080806400e499
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080806500e599
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080806600e699
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080806700e799
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080806800e899
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080806900e999
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080806a00ea99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080806b00eb99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080806c00ec99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080806d00ed99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080806e00ee99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080806f00ef99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080807000f099
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080807100f199
[TEL] udp src=40000 phone_dst=6000 len=106 cc_type=0x01 head=636301db016300524144434c4f4650565f38333938313900
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080807200f299
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080807300f399
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080807400f499
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080807500f599
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080807600f699
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080807700f799
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080807800f899
[TEL] udp src=40000 phone_dst=6000 len=106 cc_type=0x01 head=636301dc016300524144434c4f4650565f38333938313900
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080807900f999
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080807a00fa99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080807b00fb99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080807c00fc99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080807d00fd99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080807e00fe99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a00000800668080807f00ff99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a000008006680808080000099
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a000008006680808081000199
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a000008006680808082000299
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a000008006680808083000399
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a000008006680808084000499
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a000008006680808085000599
[TEL] udp src=40000 phone_dst=6000 len=106 cc_type=0x01 head=636301de016300524144434c4f4650565f38333938313900
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a000008006680808086000699
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a000008006680808087000799
